archetype_id,year,technology,capacity_gw
cost_optimal,2025,Biomass,0.0
cost_optimal,2025,Black Coal,13.555
cost_optimal,2025,Brown Coal,4.82
cost_optimal,2025,Gas,11.873959999999999
cost_optimal,2025,Hydrogen,0.0
cost_optimal,2025,Liquid Fuel,0.6635
cost_optimal,2025,Solar,10.74249
cost_optimal,2025,Water,6.83712
cost_optimal,2025,Wind,14.375482150006928
cost_optimal,2030,Biomass,0.0
cost_optimal,2030,Black Coal,12.855
cost_optimal,2030,Brown Coal,3.37
cost_optimal,2030,Gas,10.64796
cost_optimal,2030,Hyblend,0.4
cost_optimal,2030,Hydrogen,0.0
cost_optimal,2030,Liquid Fuel,0.527
cost_optimal,2030,Solar,14.903932624261039
cost_optimal,2030,Water,6.83712
cost_optimal,2030,Wind,18.100966211055795
cost_optimal,2035,Biomass,0.09978915983297422
cost_optimal,2035,Black Coal,7.14
cost_optimal,2035,Brown Coal,1.16
cost_optimal,2035,Gas,10.004100000000001
cost_optimal,2035,Hyblend,0.4
cost_optimal,2035,Hydrogen,0.0
cost_optimal,2035,Liquid Fuel,0.1035
cost_optimal,2035,Solar,27.970089786708975
cost_optimal,2035,Water,6.83712
cost_optimal,2035,Wind,32.50039948540593
cost_optimal,2040,Biomass,0.522225036559759
cost_optimal,2040,Black Coal,3.9
cost_optimal,2040,Brown Coal,1.16
cost_optimal,2040,Gas,7.8857
cost_optimal,2040,Hyblend,0.4
cost_optimal,2040,Hydrogen,0.0
cost_optimal,2040,Liquid Fuel,0.1035
cost_optimal,2040,Solar,43.035675527230474
cost_optimal,2040,Water,6.75072
cost_optimal,2040,Wind,39.719222545062266
cost_optimal,2045,Biomass,0.564195949523822
cost_optimal,2045,Black Coal,1.696
cost_optimal,2045,Brown Coal,1.16
cost_optimal,2045,Gas,5.263
cost_optimal,2045,Hyblend,0.4
cost_optimal,2045,Hydrogen,0.0
cost_optimal,2045,Liquid Fuel,0.1035
cost_optimal,2045,Solar,47.532418183905556
cost_optimal,2045,Water,6.68072
cost_optimal,2045,Wind,19.12355081552766
cost_optimal,2050,Biomass,2.564353960709447
cost_optimal,2050,Black Coal,1.696
cost_optimal,2050,Gas,2.406
cost_optimal,2050,Hyblend,0.4
cost_optimal,2050,Hydrogen,0.0
cost_optimal,2050,Liquid Fuel,0.1035
cost_optimal,2050,Solar,75.40310923485256
cost_optimal,2050,Water,6.68072
cost_optimal,2050,Wind,40.943356156114284
fast_fossil_exit,2025,Biomass,0.0
fast_fossil_exit,2025,Black Coal,13.555
fast_fossil_exit,2025,Brown Coal,4.82
fast_fossil_exit,2025,Gas,11.873959999999999
fast_fossil_exit,2025,Hydrogen,0.0
fast_fossil_exit,2025,Liquid Fuel,0.6635
fast_fossil_exit,2025,Solar,10.74249
fast_fossil_exit,2025,Water,6.83712
fast_fossil_exit,2025,Wind,14.375482150006928
fast_fossil_exit,2030,Biomass,0.0
fast_fossil_exit,2030,Gas,10.64796
fast_fossil_exit,2030,Hyblend,0.4
fast_fossil_exit,2030,Hydrogen,0.0
fast_fossil_exit,2030,Liquid Fuel,0.527
fast_fossil_exit,2030,Solar,41.63542785220548
fast_fossil_exit,2030,Water,6.83712
fast_fossil_exit,2030,Wind,43.3986123833346
fast_fossil_exit,2035,Biomass,0.09978915983297441
fast_fossil_exit,2035,Gas,10.004100000000001
fast_fossil_exit,2035,Hyblend,0.4
fast_fossil_exit,2035,Hydrogen,0.0
fast_fossil_exit,2035,Liquid Fuel,0.1035
fast_fossil_exit,2035,Solar,39.51533940311487
